Team, Salary cap ,Season
Dallas," $120,871,082.00 ",2019/2020
San Antonio," $119,217,331.00 ",2019/2020
Utah," $118,910,311.00 ",2019/2020
Brooklyn," $118,889,943.00 ",2019/2020
New Orleans," $117,868,297.00 ",2019/2020
Boston," $117,759,332.00 ",2019/2020
Minnesota," $114,202,982.00 ",2019/2020
Sacramento," $113,796,966.00 ",2019/2020
Indiana," $112,872,260.00 ",2019/2020
Chicago," $112,601,901.00 ",2019/2020
Atlanta," $110,702,618.00 ",2019/2020
Detroit," $104,527,576.00 ",2019/2020
New York," $100,232,129.00 ",2019/2020
Phoenix," $98,539,675.00 ",2019/2020
Memphis," $98,495,848.00 ",2019/2020
Charlotte," $96,552,033.00 ",2019/2020
Miami," $153,171,497.00 ",2018/2019
Golden State," $146,291,276.00 ",2018/2019
Oklahoma City," $144,916,427.00 ",2018/2019
Toronto," $137,793,831.00 ",2018/2019
Milwaukee," $130,988,604.00 ",2018/2019
Portland," $130,256,600.00 ",2018/2019
Detroit," $126,557,932.00 ",2018/2019
Houston," $126,474,100.00 ",2018/2019
Boston," $125,334,993.00 ",2018/2019
Memphis," $125,188,633.00 ",2018/2019
Washington," $123,747,588.00 ",2018/2019
New York," $123,387,454.00 ",2018/2019
Cleveland," $123,255,073.00 ",2018/2019
Minnesota," $121,962,221.00 ",2018/2019
San Antonio," $121,588,790.00 ",2018/2019
Charlotte," $121,427,859.00 ",2018/2019
Brooklyn," $118,850,600.00 ",2018/2019
Denver," $118,327,016.00 ",2018/2019
LA Clippers," $118,026,816.00 ",2018/2019
New Orleans," $116,052,756.00 ",2018/2019
Philadelphia," $115,127,167.00 ",2018/2019
Orlando," $114,394,213.00 ",2018/2019
Utah," $113,826,156.00 ",2018/2019
Chicago," $112,598,201.00 ",2018/2019
Indiana," $110,724,804.00 ",2018/2019
Phoenix," $108,692,835.00 ",2018/2019
LA Lakers," $107,225,482.00 ",2018/2019
Sacramento," $101,466,920.00 ",2018/2019
Dallas," $86,958,881.00 ",2018/2019
Atlanta," $79,180,081.00 ",2018/2019
Cleveland," $137,722,926.00 ",2017/2018
Golden State," $137,610,134.00 ",2017/2018
Oklahoma City," $134,534,640.00 ",2017/2018
Miami," $133,624,374.00 ",2017/2018
Washington," $123,306,396.00 ",2017/2018
New Orleans," $120,814,452.00 ",2017/2018
Milwaukee," $120,521,249.00 ",2017/2018
Houston," $119,905,532.00 ",2017/2018
Detroit," $119,773,191.00 ",2017/2018
LA Clippers," $119,093,010.00 ",2017/2018
Portland," $118,708,146.00 ",2017/2018
Charlotte," $117,382,664.00 ",2017/2018
Toronto," $116,929,373.00 ",2017/2018
Minnesota," $116,075,131.00 ",2017/2018
Boston," $115,284,776.00 ",2017/2018
San Antonio," $114,633,844.00 ",2017/2018
Memphis," $110,700,149.00 ",2017/2018
Denver," $107,543,599.00 ",2017/2018
Utah," $105,606,838.00 ",2017/2018
New York," $105,403,130.00 ",2017/2018
LA Lakers," $103,126,557.00 ",2017/2018
Philadelphia," $100,797,386.00 ",2017/2018
Atlanta," $99,992,696.00 ",2017/2018
Sacramento," $99,587,185.00 ",2017/2018
Orlando," $98,700,258.00 ",2017/2018
Brooklyn," $95,475,397.00 ",2017/2018
Indiana," $95,271,736.00 ",2017/2018
Phoenix," $92,684,083.00 ",2017/2018
Chicago," $90,466,801.00 ",2017/2018
Dallas," $85,440,245.00 ",2017/2018
